section,metric,value
overall,analysis_start,2010-01-04
overall,analysis_end,2026-06-09
overall,observation_count,4030
overall,correlation,-0.19098692302246062
overall,fx_spike_event_count,403
overall,fx_spike_threshold,0.007452505141434228
rolling_correlation,rolling_corr_window,252
rolling_correlation,rolling_corr_latest,-0.3954283036294621
rolling_correlation,rolling_corr_mean,-0.19015717131527327
rolling_correlation,rolling_corr_min,-0.3954283036294621
rolling_correlation,rolling_corr_max,0.05232576401340465
fx_quantile,Q1_kospi_return_mean,0.0037379465144554936
fx_quantile,Q1_kospi_return_median,0.002650661584651215
fx_quantile,Q1_kospi_positive_rate,0.6339950372208437
fx_quantile,Q1_sample_size,806
fx_quantile,Q2_kospi_return_mean,0.001616507606434299
fx_quantile,Q2_kospi_return_median,0.0015803470467312675
fx_quantile,Q2_kospi_positive_rate,0.5831265508684863
fx_quantile,Q2_sample_size,806
fx_quantile,Q3_kospi_return_mean,0.0004107370573791077
fx_quantile,Q3_kospi_return_median,0.0005649782868860642
fx_quantile,Q3_kospi_positive_rate,0.5471464019851117
fx_quantile,Q3_sample_size,806
fx_quantile,Q4_kospi_return_mean,-0.00012089450741405771
fx_quantile,Q4_kospi_return_median,2.0085411989723134e-05
fx_quantile,Q4_kospi_positive_rate,0.5
fx_quantile,Q4_sample_size,806
fx_quantile,Q5_kospi_return_mean,-0.0033384603468044473
fx_quantile,Q5_kospi_return_median,-0.0018480071051186764
fx_quantile,Q5_kospi_positive_rate,0.40694789081885857
fx_quantile,Q5_sample_size,806
